Wall time,Step,Value
1690996141.1807413,376832,-0.004696921911090612
1690996145.6765292,378880,-0.004519454203546047
1690996150.125576,380928,-0.0036340851802378893
1690996154.5749605,382976,-0.0036204687785357237
1690996159.132763,385024,-0.0038261371664702892
1690996163.5612493,387072,-0.0038775275461375713
1690996168.0247672,389120,-0.003755293320864439
1690996172.4195588,391168,-0.003758586011826992
1690996176.8243365,393216,-0.004840541630983353
1690996181.1740556,395264,-0.0037337341345846653
1690996185.538987,397312,-0.004963885061442852
1690996190.0518148,399360,-0.004024004563689232
1690996194.4584577,401408,-0.00473180552944541
1690996198.753327,403456,-0.0037039602175354958
1690996203.1184292,405504,-0.004378749988973141
1690996207.4918563,407552,-0.004835691303014755
1690996211.9909656,409600,-0.004036867059767246
1690996216.3989184,411648,-0.0033532087691128254
1690996220.837265,413696,-0.003693545702844858
1690996225.1187773,415744,-0.00415676087141037
1690996229.470355,417792,-0.0037973925936967134
1690996233.8541281,419840,-0.0034510300029069185
1690996238.2454658,421888,-0.0029434601310640574
1690996242.608265,423936,-0.004601493943482637
1690996247.0477486,425984,-0.004669602029025555
1690996251.4761677,428032,-0.004505438730120659
1690996255.8438547,430080,-0.0040136901661753654
1690996260.217495,432128,-0.004717787262052298
1690996264.559824,434176,-0.004400254692882299
1690996268.91004,436224,-0.0038773082196712494
1690996273.2226737,438272,-0.0032153369393199682
1690996277.5833502,440320,-0.005110054276883602
1690996281.9295406,442368,-0.00426129437983036
1690996286.307244,444416,-0.00498655391857028
1690996290.7203155,446464,-0.004035078454762697
1690996295.1842775,448512,-0.004788026679307222
1690996299.518225,450560,-0.0034668028820306063
1690996303.8978546,452608,-0.004099130164831877
1690996308.225808,454656,-0.003509479109197855
1690996312.6499548,456704,-0.004859824664890766
1690996317.0216982,458752,-0.0031730339396744967
1690996321.4808416,460800,-0.0038414897862821817
1690996325.8152618,462848,-0.0038255248218774796
1690996330.1742775,464896,-0.00338509539142251
1690996334.559264,466944,-0.004297033883631229
1690996338.9285283,468992,-0.00448343763127923
1690996343.3108761,471040,-0.004990658722817898
1690996347.6978006,473088,-0.003605796489864588
1690996351.9832048,475136,-0.00409230450168252
1690996356.3394194,477184,-0.003518135519698262
1690996360.7128615,479232,-0.004408515989780426
1690996365.0521715,481280,-0.004817806649953127
1690996369.4533765,483328,-0.004649643320590258
1690996373.8032467,485376,-0.00441862503066659
1690996378.1822007,487424,-0.005113548599183559
1690996382.6020896,489472,-0.00352348736487329
1690996386.9813488,491520,-0.004321616608649492
1690996391.3481636,493568,-0.0034623590763658285
1690996395.7313564,495616,-0.004091872833669186
1690996400.1340368,497664,-0.004904632922261953
1690996404.4279532,499712,-0.004840958397835493
1690996408.7615807,501760,-0.004340905696153641
1690996417.5056794,505856,-0.003231811337172985
1690996421.9013422,507904,-0.0038519534282386303
1690996426.285983,509952,-0.004203980788588524
1690996430.7785199,512000,-0.005566210951656103
1690996435.0740745,514048,-0.004366317763924599
1690996439.5020354,516096,-0.003862274345010519
1690996443.8987415,518144,-0.0037489812821149826
1690996448.3715112,520192,-0.0031311246566474438
1690996452.701872,522240,-0.0036469586193561554
1690996457.1616528,524288,-0.003415473969653249
1690996461.5600452,526336,-0.0040571619756519794
1690996465.9051933,528384,-0.0035181103739887476
1690996470.2180457,530432,-0.004949078429490328
1690996474.5947042,532480,-0.0045583839528262615
1690996478.9106855,534528,-0.004456393886357546
1690996483.2560644,536576,-0.003534064395353198
1690996487.636269,538624,-0.0049698129296302795
1690996492.1726282,540672,-0.004605142865329981
1690996496.5582743,542720,-0.003909415099769831
1690996500.9573517,544768,-0.0049798996187746525
1690996505.2243803,546816,-0.0044045173563063145
1690996509.6199458,548864,-0.004476173780858517
1690996513.992565,550912,-0.00450621172785759
1690996518.378932,552960,-0.004171578213572502
1690996522.71647,555008,-0.0046773371286690235
1690996527.103646,557056,-0.0058455755934119225
1690996531.3846211,559104,-0.004814994987100363
1690996535.734684,561152,-0.004162576515227556
1690996540.1406226,563200,-0.005021519493311644
1690996544.5081427,565248,-0.00437475461512804
1690996548.852721,567296,-0.00417348463088274
1690996553.3037395,569344,-0.00377341965213418
1690996557.654098,571392,-0.0048688855022192
1690996561.99504,573440,-0.004946909844875336
1690996566.388648,575488,-0.0038941861130297184
1690996570.7717896,577536,-0.004339954815804958
1690996575.2420852,579584,-0.0043898941949009895
1690996579.5707805,581632,-0.003171456279233098
1690996584.3332229,583680,-0.004179110284894705
1690996588.71634,585728,-0.004778794012963772
1690996593.039149,587776,-0.004671807400882244
1690996597.4001913,589824,-0.004488762933760881
1690996601.7780714,591872,-0.004427498672157526
1690996606.1020336,593920,-0.004006181377917528
1690996610.3989103,595968,-0.0046264659613370895
1690996614.828975,598016,-0.005201946012675762
1690996619.2056327,600064,-0.004862271249294281
1690996623.7132795,602112,-0.004241679795086384
1690996628.0943465,604160,-0.003907199949026108
1690996632.4532487,606208,-0.004345057997852564
1690996636.9358242,608256,-0.0066876583732664585
1690996641.329052,610304,-0.005289945751428604
1690996645.669497,612352,-0.003391592064872384
1690996650.0427806,614400,-0.004976716358214617
1690996654.4518645,616448,-0.004420845303684473
1690996658.8257408,618496,-0.004011929035186768
1690996663.1619103,620544,-0.003891478758305311
1690996667.5678139,622592,-0.0034007399808615446
1690996672.0487711,624640,-0.004530227277427912
1690996676.4643207,626688,-0.003745298832654953
1690996680.8987014,628736,-0.004080967977643013
1690996685.206648,630784,-0.0040946765802800655
1690996689.6246872,632832,-0.004603168927133083
1690996693.953042,634880,-0.004380964674055576
1690996698.3332572,636928,-0.005662187933921814
1690996702.7414336,638976,-0.005980269983410835
1690996707.1213133,641024,-0.004606002476066351
1690996711.458739,643072,-0.005926909390836954
1690996715.8154292,645120,-0.005123766604810953
1690996720.1384816,647168,-0.004912442993372679
1690996724.4906864,649216,-0.004461926408112049
1690996728.881725,651264,-0.0044770315289497375
1690996733.410947,653312,-0.0049932487308979034
1690996737.7187216,655360,-0.004033852368593216
1690996742.0340142,657408,-0.006616107188165188
1690996746.3958168,659456,-0.0048388163559138775
1690996750.7985892,661504,-0.004781707189977169
1690996756.1151588,663552,-0.005012117326259613
1690996760.837998,665600,-0.004414291586726904
1690996765.539876,667648,-0.0057803005911409855
1690996769.9695086,669696,-0.004475664347410202
1690996774.5559564,671744,-0.004566928371787071
1690996778.8905041,673792,-0.00460787070915103
1690996783.2147834,675840,-0.0037809584755450487
1690996787.5301476,677888,-0.004676514770835638
1690996791.9082472,679936,-0.00432989839464426
1690996796.2167156,681984,-0.004324587993323803
1690996800.5305893,684032,-0.0062062921933829784
1690996804.977913,686080,-0.004271467681974173
1690996809.3721504,688128,-0.005328882485628128
